state,orig_label,map_sym1,map_sym2,unit_link,prov_no,province,unit_name,unit_age,unitdesc,strat_unit,unit_com,map_ref,rocktype1,rocktype2,rocktype3,unit_ref,map_symb2
SD  ,Xgw2,Xgw2,Xgw2;0,SDXgw2;0,0,,Metagraywacke Unit 2,Proterozoic | Paleoproterozoic,"Middle Xgw- Light- to dark-gray, silceous mica schist and impure quartzite. ",,,SD001,schist,quartzite,,SD001 ,
SD  ,Xgw3,Xgw3,Xgw3;0,SDXgw3;0,0,,Metagraywacke Unit 3,Proterozoic | Paleoproterozoic,"Upper Xgw- Light- to dark-gray, silceous mica schist and impure quartzite. ",,,SD001,schist,quartzite,,SD001 ,
SD  ,Xgwl,Xgwl,Xgwl;0,SDXgwl;0,0,,Lower Metagraywacke,Proterozoic | Paleoproterozoic,"Light- to dark-gray, medium- to thick-bedded, quartz-mica schist containing calc-silicate lenses and ellipsoidal masses. Thickness up to 7,000 ft (2,133 m).",,,SD001,schist,,,SD001 ,
SD  ,Xgwu,Xgwu,Xgwu;0,SDXgwu;0,0,,Upper Metagraywacke,Proterozoic | Paleoproterozoic,"Light- to dark-gray, quartz-mica-feldspar schist, quartz-mica schist, staurolite and garnet-rich schist, metaconglomerate, calc-silicate gneiss, and cummingtonite-quartz schist. Thickness up to 14,000 ft (4,267 m).",,,SD001,schist,metasedimentary rock,gneiss,SD001 ,
SD  ,Xh,Xh,Xh;0,SDXh;0,0,,Harney Peak Granite,Proterozoic | Paleoproterozoic,"Pink to tan, finely crystalline to pegmaticic, peraluminous, muscovite granite and pegmatite containing accessory biotite, garnet, apatite, and tourmaline. Batholith body is dome-shaped with numerous smaller dikes and sills.",,,SD001,granite,,,SD001 ,
SD  ,Xif,Xif,Xif;0,SDXif;0,0,,Iron-Formation,Proterozoic | Paleoproterozoic,"Banded, dark-green, reddish-brown, and white iron-formation, ferruginous chert, and minor mica schist. Includes three or more ages of oxide-, carbonate-, silicate-, and sulifide-facies iron-formation and interbedded tuffaceous rocks. Thickness 20-500 ft (6-152 m).",,,SD001,iron formation,chert,schist,SD001 ,
SD  ,Xmg,Xmg,Xmg;0,SDXmg;0,0,,Metagabbro,Proterozoic | Paleoproterozoic,"Dark-green sills of amphibolite, actinolite schist, greenstone, and serpentine. Thickness of sills variable, up to 1,000 ft (305 m).",,,SD001,amphibolite,schist,greenstone; serpentinite,SD001 ,
SD  ,Xms,Xms,Xms;0,SDXms;0,0,,Metamorphosed Tuffaceous Shale,Proterozoic | Paleoproterozoic,"Light-gray to light-tan, muscovite schist and muscovite phylite. Thickness approximately 1,000-3,000 ft (305-914 m).",,,SD001,schist,phyllite,,SD001 ,
SD  ,Xs,Xs,Xs;0,SDXs;0,0,,Sioux Quartzite,Proterozoic | Paleoproterozoic,"Pink, reddish to tan, siliceous, fine to coarse-grained, iron-stained orthoquartzite with minor conglomerate and mudstone layers. Estimated thickness greater than 1,000 ft (305 m).",,,SD001,quartzite,conglomerate,mudstone,SD001 ,
SD  ,Xsc1,Xsc1,Xsc1;0,SDXsc1;0,0,,Metamorphosed Carbonaceous Shale,Proterozoic | Paleoproterozoic,"Dark-gray to gray, siliceous biotite phyllite, calcareous biotite phyllite, and schist. Minimum thickness 1,500 ft (457 m). ",,,SD001,phyllite,schist,,SD001 ,
SD  ,Xsc2,Xsc2,Xsc2;0,SDXsc2;0,0,,Metamorphosed Carbonaceous Shale,Proterozoic | Paleoproterozoic,"Dark-gray to gray, siliceous biotite phyllite and schist. Thickness greater than 2,500 ft (762m).",,,SD001,phyllite,schist,,SD001 ,
SD  ,Xsh,Xsh,Xsh;0,SDXsh;0,0,,Metamorphosed Shale,Proterozoic | Paleoproterozoic,"Gray to dark-gray phylite, slate, and mica schist. Estimated thickness at least 5,000 ft (1,524 m).",,,SD001,phyllite,slate,schist,SD001 ,
SD  ,Xsi,Xsi,Xsi;0,SDXsi;0,0,,Metamorphosed Siltstone,Proterozoic | Paleoproterozoic,"Medium-gray to dark-greenish-gray phyllite, slate, and biotite schist containing minor chert and amphibolite. Locally intruded by thin metagabbro sills. Thickness 1,000-3,000 ft (305-914 m).",,,SD001,phyllite,slate,schist; chert; amphibolite; gabbro,SD001 ,
SD  ,XWb,XWb,XWb;0,SDXWb;0,0,,Metabasalt,Archean(?) Proterozoic | Paleoproterozoic,Dark-green amphibolite and amphibolite schist. Thickness of individual flows 50-200 ft (15-61 m).,,,SD001,amphibolite,schist,,SD001 ,
SD  ,XWgw,XWgw,XWgw;0,SDXWgw;0,0,,Metagraywacke,Archean(?) Proterozoic | Paleoproterozoic,"Gray, siliceous mica schist and impure quartzite. Thickness undetermined. ",,,SD001,schist,quartzite,,SD001 ,
SD  ,Qo,Qo,Qo;0,SDQo;0,0,,"Outwash, Undifferentiated",Phanerozoic | Cenozoic | Quaternary | Pleistocene [Illinoian(?) Pre-Illinoian],Heterogeneous sand and gravel with minor clay of glaciofluvial orgin. Thickness up to 90 ft (27 m).,,,SD001,sand,gravel,clay or mud,SD001 ,
SD  ,XWp,XWp,XWp;0,SDXWp;0,0,,Pegmatite,Archean(?) Proterozoic | Paleoproterozoic,Light-tan to pink pegmatite,,,SD001,granite,,,SD001 ,
