unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
SDQc;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,Colluvial, 
SDQc;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Colluvial, 
SDQc;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,Colluvial, 
SDQc;0,Major,Unconsolidated,Coarse-detrital,Boulders,,,Boulders,Colluvial, 
SDQl;0,Major,Unconsolidated,Coarse-detrital,Boulders,,,Boulders,Landslide, 
SDQl;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Landslide, 
SDQl;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,Landslide, 
SDQe;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,"Eolian, Loess", 
SDQe;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Eolian, 
SDQt;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,"Terrace, stream ",
SDQt;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,"Terrace, stream ",
SDQt;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,"Terrace, stream ",
SDQt;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,"Terrace, stream ",
SDTb;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed ,
SDQt;0,Major,Unconsolidated,Coarse-detrital,Boulders,,,Boulders,"Terrace, stream ",
SDQlot;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,"Glacial, outwash ",
SDQlot;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,"Glacial, outwash ",
SDQlot;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,"Glacial, outwash ",
SDQlot;0,"Indeterminate, major",Unconsolidated,Coarse-detrital,Gravel,,,Gravel,"Glacial, outwash ",
SDQlov;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,"Glacial, outwash ",
SDQlov;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,"Glacial, outwash ",
SDQlov;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,"Glacial, outwash ",
SDQloc;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,"Glacial, outwash ",
SDQloc;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,"Glacial, outwash ",
SDQloi;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,"Glacial, outwash ",
SDTw;0,Minor,Sedimentary,Clastic,Mudstone,,,Mudstone,Bed ,
SDQlod;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,"Glacial, outwash ",
SDQlo;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,"Glacial, outwash ",
SDQlo;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,"Glacial, outwash ",
SDQlo;0,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,"Glacial, outwash ",
SDQlo;0,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt,"Glacial, outwash ",
SDQll;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,Lacustrine ,
SDQll;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,Lacustrine ,
SDQll;0,Minor,Unconsolidated,Coarse-detrital,Sand,,,Sand,Lacustrine ,
SDQll;0,Minor,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,Lacustrine ,
SDQlli;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,Lacustrine ,
SDQlli;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,Lacustrine ,
SDQlli;0,Minor,Unconsolidated,Coarse-detrital,Sand,,,Sand,Lacustrine ,
SDQltg;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,"Glacial, till ",
SDQltg;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,"Glacial, till ",
SDQltg;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,"Glacial, till ",
SDQltg;0,Major,Unconsolidated,Coarse-detrital,Boulders,,,Boulders,"Glacial, till ",
