longitude,latitude,distance_km,post-Ogallala,Ogallala Group,pre-Ogallala,Hell Creek Formation,Fox Hills Formation,Pierre Shale,Niobrara Formation,Carlile Shale,Greenhorn Limestone,Belle Fourche Shale,Mowry Shale,Skull Creek Shale,Inyan Kara Group,Morrison Formation,Sundance Formation,Spearfish Formation,Minnekahta Formation,Minnelusa Formation,Madison Group,Three Forks Shale,Stony Mountain Formation,Red River Formation,Deadwood Formation,Precambrian basement,Tertiary intrusive
-101.86222444889779,43.15,129.1533699194166,,1006.396728515625,1000.94091796875,865.3876342773438,,845.24658203125,415.44781494140625,357.2381591796875,263.0962829589844,241.09609985351562,124.3287124633789,62.382362365722656,23.704219818115234,,,-28.796001434326172,-82.65693664550781,-133.0956268310547,-294.8227844238281,,,,-348.6129150390625,-414.87353515625,
-101.85841683366733,43.15,129.46309023097396,,1002.8668212890625,998.2302856445312,864.8681640625,,844.6270751953125,414.56390380859375,356.4198303222656,262.09893798828125,240.0987548828125,123.3863296508789,61.31056594848633,22.87767791748047,,,-29.548940658569336,-82.78012084960938,-133.1622772216797,-294.5981140136719,,,,-348.62103271484375,-414.6665954589844,
-101.85460921843688,43.15,129.77281054253132,,,994.674560546875,864.3484497070312,,844.0108642578125,413.686279296875,355.60662841796875,261.1055603027344,239.10537719726562,122.44715881347656,60.24309539794922,22.054290771484375,,,-30.297746658325195,-82.90086364746094,-133.22702026367188,-294.37152099609375,,,,-348.6393737792969,-414.4702453613281,
-101.8508016032064,43.15,130.08253085408867,,,993.5944213867188,863.3085327148438,,842.7861938476562,411.9451904296875,353.99169921875,259.1317138671875,237.13153076171875,120.57931518554688,58.1178092956543,21.23540496826172,,,-31.042531967163086,-83.13676452636719,-133.35035705566406,-293.9122009277344,,,,-348.7036437988281,-414.1060485839844,
-101.84699398797595,43.15,130.39225116564603,,,996.4718017578125,862.7883911132812,,842.1776123046875,411.0818786621094,353.1900634765625,258.15203857421875,236.15187072753906,119.65130615234375,57.060089111328125,20.420000076293945,,,-32.52141189575195,-83.2519302368164,-133.40870666503906,-293.67926025390625,,,,-348.7491455078125,-413.9377746582031,
-101.84318637274549,43.15,130.7019714772034,,998.5221557617188,996.14306640625,862.2679443359375,,841.57177734375,410.22369384765625,352.39251708984375,257.1766052246094,235.1764373779297,118.72673797607422,56.00584411621094,18.799549102783203,,,-33.255428314208984,-83.36507415771484,-133.4651641845703,-293.4444274902344,,,,-348.8057861328125,-413.7810363769531,
-101.83937875751502,43.15,131.01169178876074,,,994.4136352539062,861.7474365234375,,840.9691162109375,409.3720703125,351.60028076171875,256.2054443359375,234.20529174804688,117.80565643310547,54.956092834472656,17.99462127685547,,,-33.984779357910156,-83.47586059570312,-133.5196990966797,-293.2077331542969,,,,-348.87078857421875,-413.63299560546875,
-101.83557114228456,43.15,131.3214121003181,,,990.3602905273438,860.7059326171875,,840.3690185546875,408.5256042480469,350.8121643066406,255.23861694335938,233.23846435546875,116.88810729980469,53.90982437133789,17.194543838500977,,,-34.71004104614258,-83.58477020263672,-133.57232666015625,-292.96917724609375,,,,-349.02392578125,-413.3609619140625,
-101.83176352705411,43.15,131.63113241187546,,,991.9253540039062,860.18505859375,,839.1763916015625,406.84832763671875,349.2483825683594,253.32093811035156,231.32078552246094,115.0660171508789,51.82791519165039,16.398136138916016,,,-36.14912033081055,-83.79698944091797,-133.67059326171875,-292.4853515625,,,,-349.11163330078125,-413.236572265625,
-101.82795591182365,43.15,131.9408527234328,,,990.8995971679688,859.6640014648438,,838.5840454101562,406.0182189941406,348.4732666015625,252.3690948486328,230.3689422607422,114.16069030761719,50.79274368286133,14.816515922546387,,,-36.862884521484375,-83.9000473022461,-133.71678161621094,-292.2406005859375,,,,-349.2082824707031,-413.12152099609375,
-101.82414829659318,43.15,132.25057303499017,,,987.42431640625,859.142822265625,,837.9948120117188,405.1949768066406,347.70361328125,251.42184448242188,229.42169189453125,113.25910949707031,49.76219940185547,14.031657218933105,,,-37.571372985839844,-84.0008316040039,-133.7610626220703,-291.99407958984375,,,,-349.3114013671875,-413.01324462890625,
-101.82034068136272,43.15,132.56029334654752,,,989.872802734375,858.1002807617188,,837.4080810546875,404.3773498535156,346.9383850097656,250.4792022705078,228.4790496826172,112.36128234863281,48.735416412353516,13.251788139343262,,,-38.275760650634766,-84.09974670410156,-133.80340576171875,-291.7456970214844,,,,-349.53564453125,-412.81573486328125,
-101.81653306613227,43.15,132.87001365810488,,992.7532348632812,992.8546142578125,857.5789184570312,,836.241943359375,402.75933837890625,345.421630859375,248.61199951171875,226.6118621826172,110.57948303222656,46.693302154541016,12.475866317749023,,,-38.976097106933594,-84.2919692993164,-133.88107299804688,-291.24237060546875,,,,-349.65655517578125,-412.7262268066406,
-101.81272545090181,43.15,133.17973396966224,,994.773193359375,990.9356689453125,857.68408203125,,836.3104858398438,402.1649169921875,344.5827941894531,247.61082458496094,225.6106719970703,109.5329360961914,45.62400817871094,10.950482368469238,,,-40.209144592285156,-84.01766204833984,-133.5465850830078,-290.59930419921875,,,,-349.28875732421875,-412.3120422363281,
-101.80891783567134,43.15,133.48945428121957,,995.0169677734375,990.0479736328125,857.1613159179688,,835.7327880859375,401.3779296875,343.8419494628906,246.69493103027344,224.6947784423828,108.6563949584961,44.617862701416016,10.192070960998535,,,-40.89251708984375,-84.1077880859375,-133.57928466796875,-290.3423156738281,,,,-349.4219665527344,-412.23565673828125,
-101.80511022044088,43.15,133.79917459277692,,991.654296875,989.6317749023438,856.6384887695312,,835.1576538085938,400.59661865234375,343.1054382324219,245.78395080566406,223.78404235839844,107.78373718261719,43.61551284790039,9.437773704528809,,,-41.57170486450195,-84.19599151611328,-133.61007690429688,-290.08355712890625,,,,-349.56060791015625,-412.1650695800781,
-101.80130260521042,43.15,134.10889490433428,,995.2200317382812,989.2346801757812,855.5924072265625,,834.015869140625,399.0564270019531,341.64996337890625,243.97698974609375,221.97686767578125,106.05347442626953,41.62579345703125,8.687495231628418,,,-42.246097564697266,-84.36575317382812,-133.6658935546875,-289.5608215332031,,,,-349.8520202636719,-412.0390930175781,
-101.79749498997995,43.15,134.41861521589163,,995.8076171875,988.8558959960938,855.0693359375,,833.448486328125,398.2959289550781,340.9296569824219,243.0817108154297,221.08157348632812,105.19476318359375,40.637298583984375,7.942528247833252,,,-43.579872131347656,-84.44778442382812,-133.6906280517578,-289.29656982421875,,,,-350.00360107421875,-411.98248291015625,
-101.7936873747495,43.15,134.728335527449,,998.1102905273438,988.1743774414062,854.5464477539062,,832.8834838867188,397.5417175292969,340.2142333984375,242.19288635253906,220.1927490234375,104.34027862548828,39.652992248535156,6.466628074645996,,,-44.24016571044922,-84.52796173095703,-133.71310424804688,-289.0303649902344,,,,-350.158935546875,-411.9299621582031,
-101.78987975951904,43.15,135.03805583900632,,988.979248046875,987.8643188476562,854.0234985351562,,832.3211059570312,396.793701171875,339.5035095214844,241.3092803955078,219.3091583251953,103.48997497558594,38.67278289794922,5.735229015350342,,,-44.89601516723633,-84.6062240600586,-133.7336883544922,-288.7624816894531,,,,-350.3183288574219,-411.8819274902344,
-101.78607214428858,43.15,135.34777615056367,,991.4608764648438,987.5736694335938,852.9773559570312,,831.761474609375,396.05450439453125,338.7996520996094,240.43096923828125,218.43084716796875,102.64551544189453,37.69842529296875,5.008133411407471,,,-45.546504974365234,-84.68209838867188,-133.7523651123047,-288.4929504394531,,,,-350.647216796875,-411.7969970703125,
-101.78226452905811,43.15,135.65749646212103,,994.6721801757812,987.3011474609375,852.454345703125,,830.6490478515625,394.59625244140625,337.4074401855469,238.69140625,216.6912841796875,100.97000885009766,35.76304626464844,4.2869672775268555,,,-46.83223342895508,-84.82826232910156,-133.78359985351562,-287.948486328125,,,,-350.81591796875,-411.75933837890625,
-101.77845691382765,43.15,135.9672167736784,,995.18701171875,987.0543212890625,851.931640625,,830.09619140625,393.877197265625,336.7190246582031,237.8312530517578,215.83114624023438,100.13894653320312,34.802005767822266,2.858919620513916,,,-47.468143463134766,-84.89859008789062,-133.79592895507812,-287.6734619140625,,,,-350.9873352050781,-411.7247619628906,
-101.7746492985972,43.15,136.27693708523574,,998.0752563476562,986.6060180664062,851.4087524414062,,829.5459594726562,393.1650085449219,336.03582763671875,236.97665405273438,214.97654724121094,99.31255340576172,33.84556198120117,2.1518399715423584,,,-48.099327087402344,-84.96695709228516,-133.80638122558594,-287.3968505859375,,,,-351.1617431640625,-411.6935729980469,
-101.77084168336673,43.15,136.5866573967931,,996.4910278320312,986.3968505859375,850.3632202148438,,828.9982299804688,392.4620666503906,335.3597717285156,236.12762451171875,214.1275177001953,98.49222564697266,32.89521026611328,1.4493727684020996,,,-48.72462463378906,-85.03298950195312,-133.81495666503906,-287.1186218261719,,,,-351.5177001953125,-411.63946533203125,
-101.76703406813627,43.15,136.89637770835046,,993.7345581054688,986.1947021484375,849.8405151367188,,827.9093627929688,391.0773010253906,334.0231018066406,234.447998046875,212.44790649414062,96.86557006835938,31.00844955444336,0.7534120082855225,,,-49.344608306884766,-85.15959930419922,-133.82594299316406,-286.55706787109375,,,,-351.69873046875,-411.61602783203125,
-101.76322645290581,43.15,137.2060980199078,,991.7723999023438,986.0021362304688,849.3182983398438,,827.3681030273438,390.3962707519531,333.3642272949219,233.6181182861328,211.61802673339844,96.05937957763672,30.072223663330078,-0.6237017512321472,,,-50.56971740722656,-85.22018432617188,-133.82823181152344,-286.2736511230469,,,,-351.8817138671875,-411.5948791503906,
